source_title,year,result,matched_id
頭頸部癌診療ガイドライン 2025年版,2025,MATCHED,GL-JP-000011
甲状腺腫瘍診療ガイドライン2024,2024,MATCHED,GL-JP-000011
卵巣がん・卵管癌・腹膜癌治療ガイドライン2025年版,2025,MATCHED,GL-JP-000016
肝細胞癌診療ガイドライン 2025年版,2025,MATCHED,GL-JP-000188
褐色細胞腫・パラガングリオーマ診療ガイドライン2025,2025,MATCHED,GL-JP-000164
脊髄腫瘍診療ガイドライン 2025,2025,MATCHED,GL-JP-000013
2025年改訂版心不全診療ガイドライン,2025,MATCHED,GL-JP-000183
アトピー性皮膚炎診療ガイドライン2024,2024,MATCHED,GL-JP-000196
患者さんのためのリンパ浮腫ガイドライン 2025年版,2025,MISSING_RECOVERED,
がん患者さんのための栄養治療ガイドライン 2025年版,2025,MISSING_RECOVERED,
