id,title,year,organization,specialty,access,status
GL-JP-000650,咳嗽・喀痰の診療ガイドライン第2版2025,2025,日本呼吸器学会,呼吸器内科,UNKNOWN,OFFICIAL_OR_MINDS_VERIFIED_2026-09-16
GL-JP-000651,薬剤性肺障害の診断・治療の手引き第3版2025,2025,日本呼吸器学会,呼吸器内科,UNKNOWN,OFFICIAL_OR_MINDS_VERIFIED_2026-09-16
GL-JP-000652,慢性腎臓病（CKD）患者の血圧管理に関するステートメント,2026,日本腎臓学会,腎臓内科,FREE,OFFICIAL_OR_MINDS_VERIFIED_2026-09-16
GL-JP-000653,腎障害患者におけるガドリニウム造影剤使用に関するガイドライン（第3版）,2024,日本腎臓学会ほか,腎臓・放射線,FREE,OFFICIAL_OR_MINDS_VERIFIED_2026-09-16
GL-JP-000654,遺伝性乳癌卵巣癌(HBOC)診療ガイドライン 2024年版,2024,日本遺伝性乳癌卵巣癌総合診療制度機構,婦人科・乳腺・遺伝診療,FREE,OFFICIAL_OR_MINDS_VERIFIED_2026-09-16
