id,title,year,organization,verified,anatomyTags
GL-JP-000603,骨粗鬆症の予防と治療ガイドライン2025年版,2025,日本骨粗鬆症学会，日本骨代謝学会，骨粗鬆症財団,OFFICIAL_VERIFIED_2026-09-16,
GL-JP-000604,2026年JCS/JSOGガイドラインフォーカスアップデート版 心血管疾患患者の妊娠・出産の適応と診療,2026,日本循環器学会，日本産科婦人科学会,OFFICIAL_JCS_VERIFIED_2026-09-16,心臓;陰部・骨盤臓器
GL-JP-000605,2026年改訂版 感染性心内膜炎診療ガイドライン,2026,日本循環器学会,OFFICIAL_JCS_VERIFIED_2026-09-16,心臓
GL-JP-000606,2026年改訂版 遺伝性不整脈の診療に関するガイドライン,2026,日本循環器学会，日本不整脈心電学会,OFFICIAL_JCS_VERIFIED_2026-09-16,心臓
GL-JP-000607,2025年改訂版 肺血栓塞栓症・深部静脈血栓症および肺高血圧症に関するガイドライン,2025,日本循環器学会，日本肺高血圧・肺循環学会,OFFICIAL_JCS_VERIFIED_2026-09-16,肺・気管支;下肢血管
GL-JP-000608,2025年改訂版 成人先天性心疾患診療ガイドライン,2025,日本循環器学会，日本小児循環器学会，日本成人先天性心疾患学会,OFFICIAL_JCS_VERIFIED_2026-09-16,心臓
GL-JP-000609,2025年JCS/JSPCCS ガイドラインフォーカスアップデート版 学校心臓検診,2025,日本循環器学会，日本小児循環器学会,OFFICIAL_JCS_VERIFIED_2026-09-16,心臓
GL-JP-000610,2025年JCS/JSVS ガイドラインフォーカスアップデート版 末梢動脈疾患,2025,日本循環器学会，日本血管外科学会,OFFICIAL_JCS_VERIFIED_2026-09-16,下肢血管
