id,title,year,specialty,status
GL-JP-000690,NICUに入院している新生児の痛みのケアガイドライン第3版（2025年）,2025,新生児・看護,MINDS_CURRENT_VERIFIED_2026-09-16
GL-JP-000691,エビデンスにもとづく 在宅ケア実践ガイドライン2025,2025,在宅医療・看護,MINDS_CURRENT_VERIFIED_2026-09-16
GL-JP-000692,高齢者総合機能評価(CGA)に基づく診療・ケアガイドライン2024,2024,老年医学,MINDS_CURRENT_VERIFIED_2026-09-16
GL-JP-000693,がん患者診療のための栄養治療ガイドライン 2024年版 総論編,2024,腫瘍・栄養,MINDS_CURRENT_VERIFIED_2026-09-16
GL-JP-000694,歯髄保護の診療ガイドライン,2024,歯科,MINDS_CURRENT_VERIFIED_2026-09-16
GL-JP-000695,障害者歯科診療における行動調整ガイドライン2024,2024,障害者歯科,MINDS_CURRENT_VERIFIED_2026-09-16
